vocab_size,model,batches,per_batch_flops,per_token_flops
128,NonSquareExponential,64,33554432,131072.0
128,MultiHeadAttention,64,8623489024,33685504.0
128,NonSquareExponential,32,67108864,131072.0
128,MultiHeadAttention,32,17246978048,33685504.0
128,NonSquareExponential,16,134217728,131072.0
128,MultiHeadAttention,16,34493956096,33685504.0
128,NonSquareExponential,8,268435456,131072.0
128,MultiHeadAttention,8,68987912192,33685504.0
256,NonSquareExponential,64,33554432,131072.0
256,MultiHeadAttention,64,8623489024,33685504.0
256,NonSquareExponential,32,67108864,131072.0
256,MultiHeadAttention,32,17246978048,33685504.0
256,NonSquareExponential,16,134217728,131072.0
256,MultiHeadAttention,16,34493956096,33685504.0
256,NonSquareExponential,8,268435456,131072.0
256,MultiHeadAttention,8,68987912192,33685504.0
512,NonSquareExponential,64,33554432,131072.0
512,MultiHeadAttention,64,8623489024,33685504.0
512,NonSquareExponential,32,67108864,131072.0
512,MultiHeadAttention,32,17246978048,33685504.0
512,NonSquareExponential,16,134217728,131072.0
512,MultiHeadAttention,16,34493956096,33685504.0
512,NonSquareExponential,8,268435456,131072.0
512,MultiHeadAttention,8,68987912192,33685504.0
1024,NonSquareExponential,64,33554432,131072.0
1024,MultiHeadAttention,64,8623489024,33685504.0
1024,NonSquareExponential,32,67108864,131072.0
1024,MultiHeadAttention,32,17246978048,33685504.0
1024,NonSquareExponential,16,134217728,131072.0
1024,MultiHeadAttention,16,34493956096,33685504.0
1024,NonSquareExponential,8,268435456,131072.0
1024,MultiHeadAttention,8,68987912192,33685504.0
2048,NonSquareExponential,64,33554432,131072.0
2048,MultiHeadAttention,64,8623489024,33685504.0
2048,NonSquareExponential,32,67108864,131072.0
2048,MultiHeadAttention,32,17246978048,33685504.0
2048,NonSquareExponential,16,134217728,131072.0
2048,MultiHeadAttention,16,34493956096,33685504.0
2048,NonSquareExponential,8,268435456,131072.0
2048,MultiHeadAttention,8,68987912192,33685504.0
4096,NonSquareExponential,64,33554432,131072.0
4096,MultiHeadAttention,64,8623489024,33685504.0
4096,NonSquareExponential,32,67108864,131072.0
4096,MultiHeadAttention,32,17246978048,33685504.0
4096,NonSquareExponential,16,134217728,131072.0
4096,MultiHeadAttention,16,34493956096,33685504.0
4096,NonSquareExponential,8,268435456,131072.0
4096,MultiHeadAttention,8,68987912192,33685504.0
8192,NonSquareExponential,64,33554432,131072.0
8192,MultiHeadAttention,64,8623489024,33685504.0
8192,NonSquareExponential,32,67108864,131072.0
8192,MultiHeadAttention,32,17246978048,33685504.0
8192,NonSquareExponential,16,134217728,131072.0
8192,MultiHeadAttention,16,34493956096,33685504.0
8192,NonSquareExponential,8,268435456,131072.0
8192,MultiHeadAttention,8,68987912192,33685504.0
16384,NonSquareExponential,64,33554432,131072.0
16384,MultiHeadAttention,64,8623489024,33685504.0
16384,NonSquareExponential,32,67108864,131072.0
16384,MultiHeadAttention,32,17246978048,33685504.0
16384,NonSquareExponential,16,134217728,131072.0
16384,MultiHeadAttention,16,34493956096,33685504.0
16384,NonSquareExponential,8,268435456,131072.0
16384,MultiHeadAttention,8,68987912192,33685504.0
32768,NonSquareExponential,64,33554432,131072.0
32768,MultiHeadAttention,64,8623489024,33685504.0
32768,NonSquareExponential,32,67108864,131072.0
32768,MultiHeadAttention,32,17246978048,33685504.0
32768,NonSquareExponential,16,134217728,131072.0
32768,MultiHeadAttention,16,34493956096,33685504.0
32768,NonSquareExponential,8,268435456,131072.0
32768,MultiHeadAttention,8,68987912192,33685504.0
65536,NonSquareExponential,64,33554432,131072.0
65536,MultiHeadAttention,64,8623489024,33685504.0
65536,NonSquareExponential,32,67108864,131072.0
65536,MultiHeadAttention,32,17246978048,33685504.0
65536,NonSquareExponential,16,134217728,131072.0
65536,MultiHeadAttention,16,34493956096,33685504.0
65536,NonSquareExponential,8,268435456,131072.0
65536,MultiHeadAttention,8,68987912192,33685504.0
131072,NonSquareExponential,64,33554432,131072.0
131072,MultiHeadAttention,64,8623489024,33685504.0
131072,NonSquareExponential,32,67108864,131072.0
131072,MultiHeadAttention,32,17246978048,33685504.0
131072,NonSquareExponential,16,134217728,131072.0
131072,MultiHeadAttention,16,34493956096,33685504.0
131072,NonSquareExponential,8,268435456,131072.0
131072,MultiHeadAttention,8,68987912192,33685504.0
